"GDP per capita, PPP (constant 2017 international $)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
179,6547.35,6408.39,6671.5,7119.03,7025.19,7571.93,7673.71,7949.17,8281.06,8508.97,8646.51,8785.73,9323.63,10019.54,10416.94,10666.62,11488.25,11881.69,12082.76,11840.92,11447.62,11393.62,11537.96,11729.56,11845.01,11973.35,12163.68,12245.13,12466,12489.17,12044.37
180,4058.01,3935.59,3892.36,4012.49,3874.05,4099.52,4365.2,4370.3,4446.23,4523.32,4812.77,5119.18,5310.8,5517.11,5736.21,5937.23,6015.57,6354.77,6375.99,6027.22,6010.08,6205.82,5901.35,5831.1,5788.37,5996.84,6449.83,6489.78,6384.58,6631.59,6416.78
181,57967.99,58243.75,58480.78,58141.24,59597.98,61061.73,62159.24,63990.01,68029.68,73393.25,74121.59,77249.24,76507.47,78396.54,80883.7,81766,83839.85,88683.32,87177.9,77188.63,72038.11,65142.76,59708.73,58419.91,57328.08,58061.86,59009.8,58867.01,59576.43,60847.11,60847.11
182,2556.18,2540.05,2519.82,2517.99,2542.2,2559.04,2560.85,2547.44,2569.91,2590.91,2558.28,2589.16,2602.35,2718.92,2761.95,2887.7,3069,3080.8,3239.02,3227.91,3357.47,3426.32,3461.33,3558.44,3720.79,3794.36,3878.83,3952.95,3993.28,4005.34,4051.6
183,41392.53,46075.13,46498.56,44623.51,43761.32,42855.79,43073.13,42710.91,43111.08,40643.84,41955.21,40393.97,38170.22,41229.81,43210.25,44309.53,44276.89,43865.92,45340.12,43169.54,44036.77,46989.15,48024.46,47848.38,48209.14,48921.22,48625.84,47306.22,47592.77,46962.15,44328.18
184,2472.78,2463.54,2422.78,2385.09,2317.94,2380.25,2367.65,2381.51,2463.46,2557.79,2595.11,2642.69,2580.83,2658.56,2712.88,2758.35,2750.2,2754.19,2780.62,2780.61,2797.11,2757.08,2788.67,2777.11,2868.32,2966.46,3067.67,3203.91,3309.49,3361.46,3320.68
185,14198.67,12894.39,9560.4,6803.31,7148.56,7752.19,8245.97,8865.07,9196.05,8359.6,8900.59,9529.22,10146.56,10614.33,11599.64,12277.98,12955.95,13846.28,14691.78,14347.86,14510.96,14923.8,14894.2,15399.78,15226.32,15578.2,16182.82,16611.02,17452.8,18306.78,18231.01
186,14632.33,14837.29,15827.06,16461.2,15900.16,15538.75,16065.42,17777.26,18897.93,18877.25,18992.82,18545.23,18204.96,17328.18,16896.7,18333.25,19644.69,21581.49,20651.13,20342.88,20960.75,23216.31,23279.53,24228.88,24929.55,25583.55,26395.39,27309.76,27529.5,27611.12,24427.71
187,1453.14,1477.44,1196.79,1218.5,1200.09,1105.58,1122.7,1051.2,1058.68,1018.92,1057.74,955.3,1156.18,1206.68,1231.16,1238.39,1250.05,1314.61,1353.05,1365.22,1406.18,1461.36,1645.76,1942.88,1987.07,1543.71,1602.13,1633.73,1654.6,1705.19,1637.3
188,37412.33,38794.89,40146.36,43630.4,46975.56,48851.44,50410.28,52801.5,49917.37,52354.58,56106.73,54029.73,55634.72,59022.1,64011.43,67125.56,70915.99,74159.39,71629.83,69585.84,78294.03,81538.37,83112.01,85732.8,87959.42,89519.74,91307.5,95350.44,98222.85,98411.58,93397.05
